id,title,url,publication_date,authors,topics,pdf_path,last_update_date,downloaded_at
IF12826,Ultra-Processed Foods (UPF): Background and Policy Issues,www.congress.gov/crs-report/IF12826,2026-04-21,Laura Pineda-Bermudez; Alexandria K. Mickler,Food Safety; Nutrition Programs & Policies; FDA Product Regulation & Medical Research,pdfs/IF12826.pdf,2026-04-21T16:52:52Z,2026-04-22T07:29:10.806632
IN12516,NIH Indirect Costs Policy for Research Grants: Recent Developments,www.congress.gov/crs-report/IN12516,2026-04-21,Kavya Sekar; Kavya Sekar; Marcy E. Gallo,FDA Product Regulation & Medical Research; R&D Programs & Policies,pdfs/IN12516.pdf,2026-04-21T16:38:18Z,2026-04-22T07:29:11.415797
R48694,Federal Research and Development (R&D) Funding: FY2026,www.congress.gov/crs-report/R48694,2026-04-21,Todd Kuiken; Emily G. Blevins; Laurie Harris; Rachel Lindbergh; Kavya Sekar; Joe Angert; Emily G. Blevins; Marcy E. Gallo,"R&D Programs & Policies; Health & Medical R&D; Commerce, Justice, Science Appropriations; Labor, HHS & Education Appropriations; Energy & Water Development Appropriations; Defense Appropriations",pdfs/R48694.pdf,2026-04-21T16:38:00Z,2026-04-22T07:29:12.067185
IF10973,Craft Alcoholic Beverage Industry: Overview and Regulation,www.congress.gov/crs-report/IF10973,2026-04-21,Anthony A. Cilluffo; Zachary T. Neuhofer; Anthony A. Cilluffo,Food Safety,pdfs/IF10973.pdf,2026-04-21T16:08:00Z,2026-04-22T07:29:12.679568
IF10753,ENERGY STAR Program,www.congress.gov/crs-report/IF10753,2026-04-21,Corrie E. Clark; Corrie E. Clark,Energy Policy,pdfs/IF10753.pdf,2026-04-21T16:07:58Z,2026-04-22T07:29:13.327313
IN12681,Food and Drug Administration (FDA) Response to a Raw Dairy Toxic E. coli Outbreak,www.congress.gov/crs-report/IN12681,2026-04-21,Laura Pineda-Bermudez,,pdfs/IN12681.pdf,2026-04-21T15:53:11Z,2026-04-22T07:29:13.985365
R46646,Election Administration: Federal Grant Programs for States and Localities,www.congress.gov/crs-report/R46646,2026-04-21,Karen L. Shanton,,pdfs/R46646.pdf,2026-04-21T15:53:01Z,2026-04-22T07:29:14.633724
R47263,Ecosystem Restoration in the Infrastructure Investment and Jobs Act: Overview and Issues for Congress,www.congress.gov/crs-report/R47263,2026-04-21,Pervaze A. Sheikh; Laura Gatz; Jonathan L. Ramseur; Anna E. Normand; Eva Lipiec; Lance N. Larson; Megan Stubbs,Water Resource Management; Supplemental Appropriations; Federal Land Management; Wildlife & Ecosystems,pdfs/R47263.pdf,2026-04-21T15:37:56Z,2026-04-22T07:29:15.247225
R46493,U.S. Funding for International Conservation and Biodiversity,www.congress.gov/crs-report/R46493,2026-04-21,Pervaze A. Sheikh; Nick M. Brown; Emily M. Morgenstern,Foreign Assistance; International Natural Resource Issues,pdfs/R46493.pdf,2026-04-21T15:23:39Z,2026-04-22T07:29:15.856310
R43429,Federal Lands and Related Resources: Overview and Selected Issues for the 118th Congress,www.congress.gov/crs-report/R43429,2026-04-21,Laura B. Comay; Caitlin Keating-Bitonti; Mariel J. Murray; Carol Hardy Vincent; Mark K. DeSantis; Eva Lipiec; Anne A. Riddle,Federal Land Management; Wildlife & Ecosystems,pdfs/R43429.pdf,2026-04-21T15:23:15Z,2026-04-22T07:29:16.462275
R46448,Effect of COVID-19 on Federal Land Revenues,www.congress.gov/crs-report/R46448,2026-04-21,Carol Hardy Vincent; Laura B. Comay; Mark K. DeSantis; Eric P. Nardi; Anne A. Riddle,Federal Land Management,pdfs/R46448.pdf,2026-04-21T15:23:10Z,2026-04-22T07:29:17.071562
IF11306,Fire and Deforestation in the Brazilian Amazon,www.congress.gov/crs-report/IF11306,2026-04-21,Peter J. Meyer; Pervaze A. Sheikh; Kezee Procita,,pdfs/IF11306.pdf,2026-04-21T15:23:08Z,2026-04-22T07:29:17.681208
R45696,Forest Management Provisions Enacted in the 115th Congress,www.congress.gov/crs-report/R45696,2026-04-21,Anne A. Riddle; Pervaze A. Sheikh,Federal Land Management,pdfs/R45696.pdf,2026-04-21T15:23:05Z,2026-04-22T07:29:18.300869
RS21880,Wildfire Protection in the WildlandUrban Interface,www.congress.gov/crs-report/RS21880,2026-04-21,Kelsi Bracmort,Federal Land Management; Earth Sciences & Natural Hazards,pdfs/RS21880.pdf,2026-04-21T15:23:03Z,2026-04-22T07:29:18.904887
R44592,Sage-Grouse Conservation: Background and Issues,www.congress.gov/crs-report/R44592,2026-04-21,Pervaze A. Sheikh; Carol Hardy Vincent,Wildlife & Ecosystems; Federal Land Management,pdfs/R44592.pdf,2026-04-21T15:23:01Z,2026-04-22T07:29:19.510493
R43822,Federal Land Management Agencies: Appropriations and Revenues,www.congress.gov/crs-report/R43822,2026-04-21,Carol Hardy Vincent; Laura B. Comay; William J. Mallett,Federal Land Management; Interior & Environment Appropriations,pdfs/R43822.pdf,2026-04-21T15:07:56Z,2026-04-22T07:29:20.137273
LSB11421,ESA “God Squad” Exemption for Gulf Oil and Gas Activities: Background and Current Litigation,www.congress.gov/crs-report/LSB11421,2026-04-21,Cassandra J. Barnum; Erin H. Ward,,pdfs/LSB11421.pdf,2026-04-21T13:53:50Z,2026-04-22T07:29:20.791384
IF13195,Guns and Drugs: A Brief History of 18 U.S.C. § 922(g)(3),www.congress.gov/crs-report/IF13195,2026-04-21,Dave S. Sidhu; Jordan B. Cohen,Crime; Domestic Security; Firearm Background Checks; Firearms & Regulation; Gun Control Act (GCA); Second Amendment; The Supreme Court of the United States; Controlled Substances Act (CSA),pdfs/IF13195.pdf,2026-04-21T12:24:11Z,2026-04-22T07:29:21.399127
IF12501,Private Funding for Election Administration,www.congress.gov/crs-report/IF12501,2026-04-21,Karen L. Shanton,"Voting, Elections & Redistricting",pdfs/IF12501.pdf,2026-04-21T12:09:10Z,2026-04-22T07:29:22.041993
IF13131,NIH Grants Policy Under the Second Trump Administration,www.congress.gov/crs-report/IF13131,2026-04-21,Kavya Sekar,National Institutes of Health (NIH) R&D; FDA Product Regulation & Medical Research; Health & Medical R&D,pdfs/IF13131.pdf,2026-04-21T11:53:45Z,2026-04-22T07:29:22.647440
IF11961,Elections Grant Programs: Authorizations and Appropriations,www.congress.gov/crs-report/IF11961,2026-04-21,Karen L. Shanton,"Voting, Elections & Redistricting",pdfs/IF11961.pdf,2026-04-21T11:38:50Z,2026-04-22T07:29:23.287962
IF11286,Election Security: Federal Funding for Securing Election Systems,www.congress.gov/crs-report/IF11286,2026-04-21,Karen L. Shanton,"Voting, Elections & Redistricting",pdfs/IF11286.pdf,2026-04-21T11:09:02Z,2026-04-22T07:29:23.932985
LSB11420,Congressional Court Watcher: Circuit Splits from March 2026,www.congress.gov/crs-report/LSB11420,2026-04-21,Michael John Garcia; Alexander H. Pepper,,pdfs/LSB11420.pdf,2026-04-21T11:09:01Z,2026-04-22T07:29:24.700220
IF11906,Agriculture in the WTO’s 12th Ministerial Conference (MC12),www.congress.gov/crs-report/IF11906,2026-04-21,Renée Johnson,Agricultural Trade & Food Aid,pdfs/IF11906.pdf,2026-04-21T09:53:38Z,2026-04-22T07:29:25.308138
IF12672,Russia’s Nuclear Weapons,www.congress.gov/crs-report/IF12672,2026-04-20,Anya L. Fink,"Strategic Forces, CBRN, Arms Control & Nonproliferation; Europe, Russia & Eurasia",pdfs/IF12672.pdf,2026-04-22T11:10:03Z,2026-04-22T15:12:11.386704
IF13176,Foreign Agents Registration Act (FARA): Foreign Principal Locations and Activities in the United States,www.congress.gov/crs-report/IF13176,2026-04-20,Jacob R. Straus,Foreign Agents; Foreign Agents Registration Act (FARA); Congressional Ethics & Lobbying,pdfs/IF13176.pdf,2026-04-22T11:10:02Z,2026-04-22T15:12:12.286948
IN12317,Family-to-Family Health Information Centers,www.congress.gov/crs-report/IN12317,2026-04-20,Alexandria K. Mickler; Alexandria K. Mickler,Health Care Delivery; Public Health Services & Special Populations,pdfs/IN12317.pdf,2026-04-22T11:10:00Z,2026-04-22T15:12:13.247342
R48879,Trusts: Income and Estate and Gift Tax Issues,www.congress.gov/crs-report/R48879,2026-04-20,Jane G. Gravelle,Individual Tax; Tax Reform; Estate Tax; Gift Tax,pdfs/R48879.pdf,2026-04-22T11:09:59Z,2026-04-22T15:12:14.188022
IF12135,The U.S. Army’s Typhon Mid-Range Capability (MRC) System,www.congress.gov/crs-report/IF12135,2026-04-20,Andrew Feickert,"Air, Land, Sea, Space & Projection Forces",pdfs/IF12135.pdf,2026-04-22T11:09:54Z,2026-04-22T15:12:15.117832
R48913,Corporate Taxation: The Revenue-Maximizing Tax Rate,www.congress.gov/crs-report/R48913,2026-04-20,Jane G. Gravelle,,pdfs/R48913.pdf,2026-04-22T11:09:52Z,2026-04-22T15:12:15.769735
R47194,"Highway Bridges: Conditions, Funding Programs, and Issues for Congress",www.congress.gov/crs-report/R47194,2026-04-20,William J. Mallett,Highways & Highway Vehicles; Transportation Funding,pdfs/R47194.pdf,2026-04-22T11:09:48Z,2026-04-22T15:12:16.628892
R45741,"Memorials and Commemorative Works Outside Washington, DC: Background, Federal Role, and Options for Congress",www.congress.gov/crs-report/R45741,2026-04-20,Laura B. Comay; Mark K. DeSantis; Jacob R. Straus,Federal Land Management; Commemorations,pdfs/R45741.pdf,2026-04-22T11:09:45Z,2026-04-22T15:12:17.324728
IF13013,Conditioning Federal Funding on Elections Policies: Options and Considerations for Congress,www.congress.gov/crs-report/IF13013,2026-04-20,Karen L. Shanton,"Voting, Elections & Redistricting",pdfs/IF13013.pdf,2026-04-22T11:09:44Z,2026-04-22T15:12:17.964258
IF12155,Farm Bill Primer: Trade and Export Promotion Programs,www.congress.gov/crs-report/IF12155,2026-04-20,Benjamin Tsui,Agricultural Trade & Food Aid; Agricultural Trade,pdfs/IF12155.pdf,2026-04-22T11:09:42Z,2026-04-22T15:12:18.604017
R48469,The Seafood Import Monitoring Program (SIMP),www.congress.gov/crs-report/R48469,2026-04-20,Anthony R. Marshak,Oceans & Fisheries; Agricultural Trade,pdfs/R48469.pdf,2026-04-22T11:09:38Z,2026-04-22T15:12:19.248574
RL34498,"Federal Individual Income Tax Brackets, Standard Deductions, and Personal Exemption: 1988 to 2026",www.congress.gov/crs-report/RL34498,2026-04-20,Nicholas E. Buffie; Brendan McDermott,,pdfs/RL34498.pdf,2026-04-22T11:09:01Z,2026-04-22T15:12:19.906690
LSB11405,Education Department’s DEI Certification Requirement for Schools: Overview and Legal Challenges,www.congress.gov/crs-report/LSB11405,2026-04-20,Jared P. Cole; Madeline W. Donley,Equal Protection; K-12 Education; Civil Rights & Liberties; Elementary & Secondary Education; Jurisprudence,pdfs/LSB11405.pdf,2026-04-22T11:09:00Z,2026-04-22T15:12:20.773774
IN12669,Pentagon-Anthropic Dispute over Autonomous Weapon Systems: Potential Issues for Congress,www.congress.gov/crs-report/IN12669,2026-04-20,Kelley M. Sayler,"Technology, Information & Cyber Defense; Defense Acquisitions",pdfs/IN12669.pdf,2026-04-22T11:08:59Z,2026-04-22T15:12:21.415262
LSB11403,International Agreements and Non-binding Instruments: The Case-Zablocki Act (Case Act),www.congress.gov/crs-report/LSB11403,2026-04-20,Karen Sokol,Executive Branch; Foreign Policy Institutions & Tools; International Law; Separation of Powers,pdfs/LSB11403.pdf,2026-04-22T11:08:58Z,2026-04-22T15:12:22.306137
IN12664,Executive Office for Immigration Review Immigration Judge Staffing Issues,www.congress.gov/crs-report/IN12664,2026-04-20,Holly Straut-Eppsteiner,"Immigration Enforcement & Removal; Asylees, Refugees & Other Humanitarian Concerns; Immigration Law; Executive Office for Immigration Review (EOIR)",pdfs/IN12664.pdf,2026-04-22T11:08:58Z,2026-04-22T15:12:23.204529
R44243,Electing the Speaker of the House of Representatives: Frequently Asked Questions,www.congress.gov/crs-report/R44243,2026-04-20,Valerie Heitshusen,Congressional Leadership; Congressional Operations,pdfs/R44243.pdf,2026-04-22T11:08:55Z,2026-04-22T15:12:23.851200
IF11962,Establishing and Funding Elections Grant Programs: Policy Options,www.congress.gov/crs-report/IF11962,2026-04-20,Karen L. Shanton,"Voting, Elections & Redistricting",pdfs/IF11962.pdf,2026-04-22T11:08:53Z,2026-04-22T15:12:24.498437
IF11755,The Marine Corps’ Amphibious Combat Vehicle (ACV),www.congress.gov/crs-report/IF11755,2026-04-20,Andrew Feickert,"Air, Land, Sea, Space & Projection Forces",pdfs/IF11755.pdf,2026-04-22T11:08:50Z,2026-04-22T15:12:25.361562
LSB11422,Parental Rights and Student Gender Transitions at School: Legal Developments,www.congress.gov/crs-report/LSB11422,2026-04-20,Jared P. Cole; Whitney K. Novak,Civil Rights & Liberties; Due Process Clause; Family Education Rights & Privacy Act (FERPA); First Amendment; Free Exercise Clause; Jurisprudence; Privacy; School & Campus Safety,pdfs/LSB11422.pdf,2026-04-22T11:08:49Z,2026-04-22T15:12:26.271613
IF13206,Judiciary Budget Request for FY2027,www.congress.gov/crs-report/IF13206,2026-04-20,Barry J. McMillion,,pdfs/IF13206.pdf,2026-04-22T11:08:48Z,2026-04-22T15:12:26.932684
R48912,Child Welfare Funding in the President’s FY2027 Budget: In Brief,www.congress.gov/crs-report/R48912,2026-04-20,Emilie Stoltzfus,"Child Welfare; Labor, HHS & Education Appropriations",pdfs/R48912.pdf,2026-04-22T11:08:48Z,2026-04-22T15:12:27.593816
R48883,An Overview of Decentralized Finance (Defi),www.congress.gov/crs-report/R48883,2026-04-20,Paul Tierno,Banking; Blockchain & Cryptocurrencies; Digital & Virtual Currencies; Financial Technology Innovation; Stablecoins,pdfs/R48883.pdf,2026-04-22T08:52:54Z,2026-04-22T15:12:28.245428
R45741,"Memorials and Commemorative Works Outside Washington, DC: Background, Federal Role, and Options for Congress",www.congress.gov/crs-report/R45741,2026-04-23,Laura B. Comay; Mark K. DeSantis; Jacob R. Straus,Federal Land Management; Commemorations,pdfs/R45741.pdf,2026-04-23T17:07:55Z,2026-04-24T08:57:26.727185
R48179,Tickets for Live Entertainment Events,www.congress.gov/crs-report/R48179,2026-04-23,Clare Y. Cho,Competition Policy & Law; Service Sectors,pdfs/R48179.pdf,2026-04-23T16:37:50Z,2026-04-24T08:57:27.479945
R48913,Corporate Taxation: The Revenue-Maximizing Tax Rate,www.congress.gov/crs-report/R48913,2026-04-23,Jane G. Gravelle,,pdfs/R48913.pdf,2026-04-23T15:23:00Z,2026-04-24T08:57:28.380107
IF12094,The Army’s XM-30 Mechanized Infantry Combat Vehicle (Formerly the Optionally Manned Fighting Vehicle [OMFV]),www.congress.gov/crs-report/IF12094,2026-04-23,Andrew Feickert; Ebrima M'Bai,"Air, Land, Sea, Space & Projection Forces",pdfs/IF12094.pdf,2026-04-23T13:53:05Z,2026-04-24T08:57:29.546215
R47277,Reserve Funds in the Congressional Budget Process: Frequently Asked Questions,www.congress.gov/crs-report/R47277,2026-04-23,Megan S. Lynch,Budget & Appropriations Procedure,pdfs/R47277.pdf,2026-04-23T13:53:03Z,2026-04-24T08:57:30.514193
R44243,Electing the Speaker of the House of Representatives: Frequently Asked Questions,www.congress.gov/crs-report/R44243,2026-04-23,Valerie Heitshusen,Congressional Operations; Congressional Leadership,pdfs/R44243.pdf,2026-04-23T12:22:58Z,2026-04-24T08:57:31.686506
IF12155,Farm Bill Primer: Trade and Export Promotion Programs,www.congress.gov/crs-report/IF12155,2026-04-23,Benjamin Tsui,Agricultural Trade & Food Aid; Agricultural Trade,pdfs/IF12155.pdf,2026-04-23T12:08:00Z,2026-04-24T08:57:33.179502
R48912,Child Welfare Funding in the President’s FY2027 Budget: In Brief,www.congress.gov/crs-report/R48912,2026-04-23,Emilie Stoltzfus,"Child Welfare; Labor, HHS & Education Appropriations",pdfs/R48912.pdf,2026-04-23T12:07:59Z,2026-04-24T08:57:34.130646
IF13207,Prediction Markets Legislation in the 119th Congress,www.congress.gov/crs-report/IF13207,2026-04-23,Karl E. Schneider; Alexander H. Pepper,,pdfs/IF13207.pdf,2026-04-23T11:07:52Z,2026-04-24T08:57:35.098260
